feature,mean_abs_shap
is_sender_drained,2.7101054
amount_ratio_sender,1.7944667
sender_old_balance,1.7196329
sender_balance_change,1.4544879
type_CASH_OUT,1.2673508
is_high_risk_type,0.99670553
amount,0.9899302
type_TRANSFER,0.30502135
elapsed_hours,0.29653367
amount_ratio_recipient,0.21357845
recipient_old_balance,0.20854458
recipient_new_balance,0.19372398
hour_of_day,0.17801304
recipient_balance_change,0.16880624
day_of_week,0.14319836
sender_new_balance,0.09752193
recipient_balance_jump,0.011358831
is_late_phase,0.00018062565
type_CASH_IN,0.0
type_DEBIT,0.0
is_night,0.0
is_weekend,0.0
type_PAYMENT,0.0
sender_old_zero,0.0
